Unnamed: 0,Authorization Group,Bus. Transac. Type,Calculate Tax,Cash Flow-Relevant Doc.,Cleared Item,Clearing Date,Clearing Entry Date,Clearing Fiscal Year,Country Key,Currency,Debit/Credit ind,Transaction Value,Document Is Back-Posted,Exchange rate,Fiscal Year.1,Fiscal Year.2,Posting period.1,Ref. Doc. Line Item
243,60,RFBU,,False,Not Selected,,,,US,USD,H,-34140.0,X,,2018.0,2018,12,1
244,60,RFAD,,False,Selected,2019-04-01,2019-04-12,2019.0,US,USD,H,-53018.0,,,,2019,3,3
245,60,RFAD,,False,Selected,2019-04-01,2019-04-12,2019.0,US,USD,S,53276.16,,,,2019,4,3
246,60,RFAD,,False,Not Selected,,,,US,USD,S,4540691.0,,,,2019,4,25
247,60,RFAD,,False,Not Selected,,,,US,USD,H,-4526402.5,,,,2019,3,25
248,60,RFAD,,False,Not Selected,,,,US,USD,H,-177671.97,,,,2019,3,4
249,60,RFAD,,False,Not Selected,,,,US,USD,S,167370.53,,,,2019,4,4
250,60,RFAD,,False,Selected,2019-04-01,2019-04-12,2019.0,US,USD,S,5491080.0,,,,2019,4,56
251,60,RFAD,,False,Selected,2019-04-01,2019-04-12,2019.0,US,USD,H,-5449928.0,,,,2019,3,56
252,60,RFBU,,False,Not Selected,,,,US,USD,S,31330.56,,,,2019,3,2
253,60,RFBU,,False,Not Selected,,,,US,USD,H,-25094.0,,,,2019,3,1
254,60,RFAD,,False,Selected,2019-04-15,2019-04-12,2019.0,US,USD,H,-26090.0,,,,2019,3,2
255,60,RFAD,,False,Selected,2019-04-15,2019-04-12,2019.0,US,USD,S,26148.0,,,,2019,4,2
256,60,RFBU,,False,Not Selected,,,,US,USD,H,-182307.0,,,,2019,3,2
257,60,RFBU,,False,Not Selected,,,,US,USD,S,169541.0,,,,2019,3,4
258,60,RFBU,,False,Not Selected,,,,US,USD,H,-310679.91,,,,2019,3,55
259,60,RFBU,,False,Not Selected,,,,US,USD,H,-693388.36,,,,2019,3,27
260,60,RFBU,,False,Not Selected,,,,US,USD,H,-1421966.0,,,,2019,3,183
261,60,RFBU,,False,Not Selected,,,,US,USD,H,-3814297.0,,,,2019,3,19
